 TIME , 2009 ,  , 2010 ,  , 2011 ,  , 2012 ,  , 2013 ,  , 2014 ,  , 2015 ,  , 2016 ,  , 2017 ,  , 2018 ,  
 GEO (Labels) ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 European Union - 27 countries (from 2020) , 1.90 ,  , 1.90 ,  , 1.90 ,  , 1.90 ,  , 1.80 ,  , 1.80 ,  , 1.90 ,  , 1.90 ,  , : ,  , : ,  
 European Union - 28 countries (2013-2020) , 1.90 ,  , 2.00 ,  , 2.00 ,  , 1.90 ,  , 1.90 ,  , 1.80 ,  , 1.90 ,  , 1.90 ,  , : ,  , : ,  
 European Union - 27 countries (2007-2013) , 1.90 ,  , 2.00 ,  , 2.00 ,  , 1.90 ,  , 1.90 ,  , 1.80 ,  , 1.90 ,  , 1.90 ,  , : ,  , : ,  
 Euro area - 19 countries  (from 2015) , 1.90 ,  , 1.90 ,  , 1.90 ,  , 1.90 ,  , 1.80 ,  , 1.80 ,  , 1.90 ,  , 1.90 ,  , : ,  , : ,  
 Euro area - 18 countries (2014) , 1.90 ,  , 1.90 ,  , 1.90 ,  , 1.90 ,  , 1.80 ,  , 1.80 ,  , 1.80 ,  , 1.90 ,  , : ,  , : ,  
 Belgium , 3.00 ,  , 2.70 ,  , 2.50 ,  , 2.30 ,  , 2.20 ,  , 2.20 ,  , 2.20 ,  , 2.10 ,  , 2.00 ,  , : ,  
 Bulgaria , 1.60 ,  , 1.50 ,  , 1.40 ,  , 1.60 ,  , 1.50 ,  , 1.50 ,  , 1.50 ,  , 1.50 ,  , 1.50 ,  , 1.50 ,  
 Czechia , 2.80 ,  , 2.90 ,  , 2.70 ,  , 2.50 ,  , 2.70 ,  , 2.50 ,  , 2.50 ,  , 2.40 ,  , 2.40 ,  , 2.30 ,  
 Denmark , 2.70 ,  , 2.60 ,  , 2.60 ,  , 2.80 ,  , 3.40 ,  , 3.40 ,  , 2.90 ,  , 3.00 ,  , 2.60 ,  , 2.60 ,  
 Germany (until 1990 former territory of the FRG) , 2.30 ,  , 2.30 ,  , 2.30 ,  , 2.20 ,  , 2.10 ,  , 2.10 ,  , 2.00 ,  , 2.00 ,  , 1.90 ,  , : ,  
 Germany including former GDR , 2.30 ,  , 2.30 ,  , 2.30 ,  , 2.20 ,  , 2.10 ,  , 2.10 ,  , 2.00 ,  , 2.00 ,  , 1.90 ,  , : ,  
 Estonia , 2.40 ,  , 2.20 ,  , 2.30 ,  , 2.40 ,  , 2.50 ,  , 2.40 ,  , 2.60 ,  , 2.50 ,  , 2.50 ,  , 2.40 ,  
